event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7155236-1,7155236,0x52268be0d9156f2ca49a964297e83db7397a62a6102eba68b1a2186a22f8d330,1,council,Voted,14mwSGdhdrAA3pGoKSX1tWguFREswWucAsr7kcHbdsf7fU7Q
7155112-1,7155112,0x118585bf555dbe01226cfda54ba9feee9503d68f96cb9a72ffa146df6c0952e9,1,council,Voted,14rEVPh5hz4D6y783QCH9xgySNJVxMLaHhQKm69KChphYoEw
7154830-1,7154830,0xebb2853931aa38ca7051db0bc9dabcc6821bae72115dea6b82e7c829719b96ef,1,council,Voted,1363HWTPzDrzAQ6ChFiMU6mP4b6jmQid2ae55JQcKtZnpLGv
7154449-1,7154449,0xb8b24056d66eb6287c8978b3b29cd6b30dd01e988f0b13b4f77530ec7c7594ea,1,council,Voted,1629Shw6w88GnyXyyUbRtX7YFipQnjScGKcWr1BaRiMhvmAg
7154333-1,7154333,0x35ae58ddef2ca330ddb67877026235b4b8a12e9b06917014708548f3ce08d8d7,1,council,Voted,167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h
7154243-1,7154243,0x013e2a71edd95b093df1d1c6e7d37580de08b00b5fbfab6ddeca37b3bda1209f,1,council,Voted,14DsLzVyTUTDMm2eP3czwPbH53KgqnQRp3CJJZS9GR7yxGDP
7154155-1,7154155,0x2eddb14ebe23d439a5bea9d08343f8c9cb4b7ba17c7be39e281f37d23d5f3324,1,council,Voted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7154051-1,7154051,0xd16dd01d5739248603ff6a77aeeb68d04c806bf3be174469a4afa9e0ffe4ea12,1,council,Proposed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7129550-1,7129550,0x7a5f382bfc5f8e989aeccbfc1a9f6a622d22c4311e5618c0ead5b3b5a1b0083d,1,council,Closed,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
7129550-1,7129550,0x7a5f382bfc5f8e989aeccbfc1a9f6a622d22c4311e5618c0ead5b3b5a1b0083d,1,council,Disapproved,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
