event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
8079988-7,8079988,0x5a4574fba698a04b228d015d965f3b57f1183258cb606373aae9119be5a65057,7,council,Proposed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8071184-4,8071184,0xba075c57d7b15d7fd69077ba64fda8b62edc8d324c23691f62b048569cb46fb1,4,council,Closed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8071184-4,8071184,0xba075c57d7b15d7fd69077ba64fda8b62edc8d324c23691f62b048569cb46fb1,4,council,Approved,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8071184-4,8071184,0xba075c57d7b15d7fd69077ba64fda8b62edc8d324c23691f62b048569cb46fb1,4,council,Executed,GLVeryFRbg5hEKvQZcAnLvXZEXhiYaBjzSDwrXBXrfPF7wj
8071179-6,8071179,0xfdfc256f26b62d093aaf0d91d24b34d291b8c4ee44acb6cc86001cd777215047,6,council,Voted,GoJ89MXptpNt1dH4NaZ73YtzknhrYeZcBJ33mifX5BMqoFz
8071105-3,8071105,0x7fc52201599032501fcfcf6219ef43acd188df48e0c1e265cf552bb53adf6598,3,council,Voted,GNdebyJH2tfL5SWB7Tf3ncGUKVqnMf9JQJ5bwrL4dK22XuE
8071104-4,8071104,0xafde781da69d05844d9910385dbbd007bcb8f54b42b3c334c657280004c9065d,4,council,Voted,GNdebyJH2tfL5SWB7Tf3ncGUKVqnMf9JQJ5bwrL4dK22XuE
8071100-4,8071100,0xe871b945c4d9bec4d56b192c3068fe4b70a0880bdde56d118bcdad2b4b5ee57d,4,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
8071095-3,8071095,0xc8875979d6cbe16c6a6f51036988fc9167306d55b4c8fb0f4036b83550a058a2,3,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
8071051-2,8071051,0xcbd07b93d1316e024a8e2fc0f93c962e634fbdf99e300170a25561fec65636ef,2,council,Voted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
8071050-2,8071050,0x9c65a606c46e270b4c2a26ab09db302ced67965ba24d69349ef9b587b153c6a8,2,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
8071049-2,8071049,0x3c350aa90decb112c5c5a67648903d8875d04fbc27a78090cc94ba4bbd54a92a,2,council,Voted,Etj64GQ5Mzm98HijdnvqjxMyK8xemPtLTpWdnwEiEvFygJa
8071035-2,8071035,0xc45fd48f455b86ce2710799ef82ce03d381254d3387edd268f207ccd56a2f196,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
