event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6473209-1,6473209,0xafe20af3a0c9816563fa37c41e2eb2f64958c0fcf133d0bc8b0f0568a3f0c0d5,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6470816-1,6470816,0xeaf4361360b11d448a12d5422fefb1216226afe4529a5f799d5f884a480d4421,1,society,Vote,HL8bEp8YicBdrUmJocCAWVLKUaR2dd1y6jnD934pbre3un1
6473203-1,6473203,0x31ac47b405f9fd4e762353a59eaec3f842ab9528c533eed18fae566fd5083392,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6473207-1,6473207,0xcd20c3c9c8f6b487d5398119462bf67d9a9f7e38925d8fcff139fe7a2b980bf1,1,society,Vote,GsgSP79vBqKu4xvGZaNQRqVFmDBxsf6ztAw1t1R9KqNWjsC
6470808-1,6470808,0x4a3b0551161a071ce9e6b95c32b33e59018cc57c43d5f0d362342f90742e631a,1,society,Vote,HL8bEp8YicBdrUmJocCAWVLKUaR2dd1y6jnD934pbre3un1
6470813-1,6470813,0xf8c105540f910b04e30777e7c5eb1827c2388b9fd2f2a37926bc3488b6a88c8f,1,society,Vote,HL8bEp8YicBdrUmJocCAWVLKUaR2dd1y6jnD934pbre3un1
6469903-1,6469903,0x26d37819ec722921f7bc5d07b2790d5ebe511ecc2480b694e9a3c3b12cde7982,1,society,DefenderVote,CiFzvmP1wyXB8nUHh6rA1j7tFQFBx2akg57TwdTGjRAXicm
6469270-1,6469270,0xd5946bf7cc15d64190750f56fb8e263736227c51934e7b196e3567adab510034,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469262-1,6469262,0xe75d64601d9fd4113556f0a46ee7b9dfa79e619b846a17f07453c49d1003f23b,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469268-1,6469268,0x55b3abdd76503ed692a3098a902ecd045747cdf1df3d94ca812d7f9facb7f98f,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469266-1,6469266,0xc996ca43dd224ef450a23ce027087cd0a9dc0aa5ad495f988f77a1bbd9ffa03a,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469258-1,6469258,0x3f9c88092977e144ab04f87eb663967208711028cbd4844e30955df68f19223e,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469264-1,6469264,0x48ac5d28da3673d9e72e7f67e8b24164ec873449ba628411694bdbcafcc229d4,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469260-1,6469260,0xa5cd1f5b60e116c49048a08259d13a075641f88afbbd9b85b9e7ed62fb62b04d,1,society,Vote,EMR5Xpn9TsSviYpgxEPzJ9V9LYS3BZodV77QQR4HtjFUJG7
6469220-1,6469220,0xdddb82e2151f5e68b438bdab9e962275223769d14ba36bd8647708f7ce80f3a4,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469212-1,6469212,0xad2a93d33d7ba9a67050b3de5d7257e85b68d16ba9d3c5c0fdd230896a46ad20,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469208-1,6469208,0xc00671fb2bfdf18383ae6502c906458cd463ee92b5dcde2a61b67260eaba3bf9,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469193-1,6469193,0x2f0a1d01b8d27d1aaede1d34f1738a3a7457a031c1da01ccec20498d8550fce8,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469190-1,6469190,0xc84d49d0cda7530b2d955e24711fc368148df8d7f208a1d5d72d9e801dcf47cf,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469185-3,6469185,0x275c4c564cbc91ed7623b8ad186e6c51270da82de9bc51867d10b6c74a22a985,3,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469185-2,6469185,0xed8722d8b3455edcdf8a5dbd2d9d0bc3dc764576f805bd6ea0514314cb66f840,2,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6469200-1,6469200,0x999a5229bc5bdc7d7b21f8ecd8845347f3ebccbf3117ae84a1c7df91ef913529,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469182-2,6469182,0x56dd9d4cf26433a52e4f2b25836e2408a6f0a4c255d0c8c429efc11d81b1b2db,2,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6469178-1,6469178,0x96420497433298838d92b7ac722afbdf478bfc81270fad2be351289a2b1af6c6,1,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6469199-1,6469199,0xb85dd33946a0e0b5f61f3abe7290a8b1a7c9b1ce48afc87f01ab7c8117fc35b5,1,society,Vote,
6469202-1,6469202,0xacb7e95cd9c88edd6fbebf3c4783aaf27ac7897a084c29bec01640a385fc4afc,1,society,Vote,EtADjuauj4ETanscktz4jpejZdkCMVPnRxKos6AwgpzLdHM
6469176-1,6469176,0x295964934611e62bf2735732eb4a7e706c6df4f38413a93a4d6f875ce5ea3c3a,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6468447-1,6468447,0x3de373e5178d634b0164abaf8a3b81bfd3e92f084e70487e33815e77e1f45538,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6468444-1,6468444,0x70538dc14f938cdef418537413df5f55b063e558e81f9a648613a7131122ab93,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6469256-1,6469256,0xb70b22052c0355a748d6224b0b93c558b3f5d5bb45aa50deb728bc82bac029cb,1,society,Vote,
6468438-2,6468438,0x758ca0d727da0839bcd420da566bc8d3165c1cf6f87e253375b1ac31fbd9e94c,2,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6467466-1,6467466,0x4ab812766a152b1b6c791cfafa6baa5423f9b34a9fc240349e46f93d7d83184b,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467469-1,6467469,0x86b2c91f646b986434bef28c5cbc2b23f48784a0a2848dcb30455fb08ee75b4d,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6468440-1,6468440,0xdaa1e0b215e79d8e899995347e2eb460c128f3326050d3948b2a5befdcef92d4,1,society,Vote,Hbgxh54N33ApEZrpnYGhhvPJNYWD5LNprZodPVnSHq7QDDh
6467464-1,6467464,0x175ab04c1825e590a97372a903f436ac31f2e696c7f6871782f3a167fd9469dc,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467458-1,6467458,0x43668baf402b77055cbe1b529421f064307641c91aed9dd90690eeb4f39178b2,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467460-1,6467460,0xe8babda161cc39ab44182a184ed2c13c95d7a2922ebb6da80551b96675cea6bc,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467456-1,6467456,0x4641294b951f6af2c8596a988b3a603a74410e676b59e2b8d88ec89e4ecce707,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467459-2,6467459,0x2dcfd0a34a9763624a3b7d81a37460f33a067898efb30d0b077f430f35af4c1b,2,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6467454-1,6467454,0xd74d75fcb6278d9d99fa2d8916f2840b75bdba15867ca8b6d21eb9cbfcb3f270,1,society,Vote,H78eV5sRqzqihtEQTp2FMWbF3mUwYU7P7Pmej2CTfeVk9GA
6463901-2,6463901,0xc4aea837512653666a10aa21c0ec2d782dde3a1f519b80693a6fc83130403561,2,society,Vote,EkRd7vCKiDZi6BM6tHKs5YAeGmE3MmQgChrrbtkRkf6SBwW
6463901-3,6463901,0xc799b0202e156577f24076cda3f2fccbebab6cb6c2b68a8b0fe0c7c9828558ef,3,society,DefenderVote,GD8GVB4Ai4uCSzMCiX6C4vuY4DVkBctQRT6QMqD6y5mJfr9
6463897-1,6463897,0x3217efd046837bdf9641c841e1b7e1f97d8907435c62092e8b5b08dd991b1e4a,1,society,Vote,EkRd7vCKiDZi6BM6tHKs5YAeGmE3MmQgChrrbtkRkf6SBwW
