event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
6840670-2,6840670,0x958e515ddb6415b9a0d5e507d5100bbf708aea087ae4b5ec42e1f7494ae00b40,2,democracy,Delegated,14DH67YwZ7UnuMkVjoqpT8b8WZZjEkhg6KUPBZfE7JrcHP29
6840685-3,6840685,0x0eaa3baf913f5030806c3109d85e53c7f8ba827e236f4148ce4453ea6b63d6af,3,democracy,Delegated,123agzjVV6V217nGNr8nQcaVi7hqEVZVU5VvPsn9oYwVDiAx
6840654-4,6840654,0xf6384319bf780a2e33f631d5e9f5263a486c4a4c6e4e3be2c712c61631056d7a,4,democracy,Delegated,15KqnYHZG2BDytPua1vLniV28zoWQjiFy3RJ9vd8aZknDYyP
6839745-1,6839745,0x05a322c4ab81fbcc8192ef793f1b927429e0b25736a11edcf2b1f09e79c6ee3a,1,democracy,Started,1363HWTPzDrzAQ6ChFiMU6mP4b6jmQid2ae55JQcKtZnpLGv
6828003-2,6828003,0xbcd7e7c10d227a44dd60d191fe961b4d0f867e48f992755a9b39c1aaa1bdcf54,2,democracy,Delegated,14Q8pnHZCqp2yRVwWz1G7hX1yTj8KrAaYEvKGBU4bT756sbx
6806868-3,6806868,0x3e0186e28ada91cd36fc93533b34838299d3a14c0d6e3677f9d19ceed1d6957c,3,democracy,Delegated,1xNYC4RNWDXECegNsx4T9AMfQqzxreWdHVP7bQzwB4xStDe
6765518-1,6765518,0x9eef38213b03eff10c53ef5b472f7a057adfd058d6b6a64aea9b3ca8b258a669,1,democracy,PreimageNoted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
6758467-2,6758467,0xf508a045285b07b795c286610b7b5503225a89f88dcc125b3985feb47cc49a27,2,democracy,Delegated,12Gim5C9gh3QCWvyr4Rx1Lgsw5PzY2kcp7ma4de6AvDLv1qR
6713249-0,6713249,,0,democracy,PreimageUsed,
6740507-3,6740507,0xec000c11f3d2d3c7961b65449195d1aae6802b6a9de7e6ab44d3e4e1c2fb6976,3,democracy,Undelegated,12Qy2A42cvzisKbuRg27GHaWCTL7KiKeFoUi96jbiZRXdcBY
6713249-0,6713249,,0,democracy,Executed,
6712649-0,6712649,,0,democracy,Passed,
6712676-1,6712676,0xe1cdd091806f41d4aa008db3e8174e65f230735beec18b38b03a001d3047a13b,1,democracy,PreimageNoted,138kTNp7z4Gj7TNSJwpAb8jBLYdn9BwUskfcftC3pAxT3AaV
6665866-3,6665866,0xed0237b95e0c877569526c808b2338a2842401358f756e85818437bb8c1895d8,3,democracy,Delegated,13zNDaJWg27589csPXp4k5uhPcPdQ4XYAfEEAkAb2jrrt7WQ
6652240-2,6652240,0x2e5c9997fb234357136fe361a53b37aff7f5ed17754a8f6b2c402df15f032249,2,democracy,PreimageNoted,1X5LsXBU6XVdJNAPxy21vczLfjGxH5X2o8TgKzNy5AcBAY3
6642039-1,6642039,0xc036b58173865bc56a184f31035a59c57c07a43889423bc3a1800affacdf19b3,1,democracy,PreimageNoted,1X5LsXBU6XVdJNAPxy21vczLfjGxH5X2o8TgKzNy5AcBAY3
