event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
2192391-3,2192391,0xe10483645bc5bbc9d84e1b75ad787a015ffa6cae76942c255dd5408410baf2e7,3,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
2116800-0,2116800,,0,democracy,Started,
2116800-0,2116800,,0,democracy,Passed,
2075712-2,2075712,0x2c19395307e7a71818a5391d40314b73f791b07c32d66c9087307954f6096c90,2,democracy,PreimageNoted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
2196974-3,2196974,0x5c27239dd556b8be35c51257b7089dd38389047738badb37955f04fafd8649aa,3,democracy,PreimageNoted,FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL
2075677-3,2075677,0x6c92db16dd8c0c8952b61493dfa8480652b603f5e2cf8ec070a0c837f921019d,3,democracy,PreimageNoted,H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y
2075652-3,2075652,0xfece3ea34ed6790ac16a643335a644379f283da98213e05800cea2d865579a23,3,democracy,PreimageNoted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
2075651-0,2075651,,0,democracy,PreimageUsed,
2075651-0,2075651,,0,democracy,Executed,
2075641-0,2075641,,0,democracy,Passed,
2064961-0,2064961,,0,democracy,PreimageUsed,
2064961-0,2064961,,0,democracy,Executed,
2073841-2,2073841,0x38d6a81cb846f7994d9e365f9d8cc5b02705f19635a8010728514be131545068,2,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
2065664-3,2065664,0x3e2bb87d7882e59b9130b349700f4921976f07319232a56346f4bb723b402e15,3,democracy,PreimageNoted,J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK
2064960-0,2064960,,0,democracy,Passed,
2016000-0,2016000,,0,democracy,ExternalTabled,
2016000-0,2016000,,0,democracy,Started,
2019159-3,2019159,0xa42f86ad2efe1c170fae82a85d92cdb791848245fe1b805f2b424db404220332,3,democracy,PreimageNoted,GLiebiQp5f6G5vNcc7BgRE9T3hrZSYDwP6evERn3hEczdaM
2019179-3,2019179,0x9a9188777b84f4da7663a1f28fae78ee4e62c4f6b87495a7bcc599f86a8a0e45,3,democracy,Proposed,GPqtzJ7FtY1Xzu8RTWxhTywfFyjtmH4g1T46qVXgTDJz9oY
2016000-0,2016000,,0,democracy,NotPassed,
2063160-3,2063160,0x7923f34caada5dcc85d7dd7d30e83e9b5b679f9326e2721f46eeea2e1a6752b7,3,democracy,Started,F2i6trfXqFknbgB3d9wcd1X98WWdLLktmFtK8Beud75bjTW
1954897-3,1954897,0xba2ea90f38d8401ae9ae6dc6235d6019bf88ed6167d01bae60216c83e6fe9d0e,3,democracy,PreimageNoted,DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4
1929600-0,1929600,,0,democracy,PreimageUsed,
1954883-3,1954883,0xb8a30505dde861922cf67c63c2aee31f12538d1defd6d4ebb8b6eab0d90e0da5,3,democracy,Proposed,DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4
2064097-3,2064097,0x188b384184ae51c5b38db211ba72c4771405e6b3df4d4af2643d52cb97ee89c0,3,democracy,PreimageNoted,
1929600-0,1929600,,0,democracy,Executed,
2064035-3,2064035,0xb16b4ba153db4c4222cb6e0721878d44c6937eb2cd2a99735216e2062240f817,3,democracy,PreimageNoted,
1922635-3,1922635,0x54337a66bbb67add1aa719343e1dc530fe5b11bc83ebc97d12e997e0fb688f93,3,democracy,PreimageNoted,EqeaSHobbxoBkKXdfcxTJwYEsofyu48LMrSeFtiQGcafouM
1915200-0,1915200,,0,democracy,Started,
1922267-2,1922267,0xc17a048fa335fd38d4fc3a02cbc8ed2d1cf2fd3c98594eae24d049e96a35a78b,2,democracy,PreimageNoted,EqeaSHobbxoBkKXdfcxTJwYEsofyu48LMrSeFtiQGcafouM
1915200-0,1915200,,0,democracy,Tabled,
1915200-0,1915200,,0,democracy,NotPassed,
1914011-2,1914011,0x30a333fdd122ffe7708ee0d74fa2860dd3897345d6f3c7d13ca18dc76fd5b715,2,democracy,PreimageNoted,EqeaSHobbxoBkKXdfcxTJwYEsofyu48LMrSeFtiQGcafouM
1879970-3,1879970,0x4844f0ec4e47edb78260e43a02eafc4eb695fd14319d1c6b9d73fdc9094d2540,3,democracy,Proposed,GPqtzJ7FtY1Xzu8RTWxhTywfFyjtmH4g1T46qVXgTDJz9oY
1879807-3,1879807,0x35b9b9644ca522efb3b0fadfdaae9692028b8827f3157d599a8b6aef0231c18d,3,democracy,PreimageNoted,GPqtzJ7FtY1Xzu8RTWxhTywfFyjtmH4g1T46qVXgTDJz9oY
1879140-3,1879140,0x545d43c1caf4a350041d0ec367fec431295feeeedec95b98cfff18e23740d764,3,democracy,PreimageNoted,ELiebihEuHYBzCk4vUrF69e1FG823Zt56porGjZ4eroFC9K
1814400-0,1814400,,0,democracy,Passed,
1814400-0,1814400,,0,democracy,Tabled,
1879733-3,1879733,0xdea6317f7084042593928bf669ac92d0816b65a3caacbf719aca3bf369c9948a,3,democracy,PreimageNoted,GPqtzJ7FtY1Xzu8RTWxhTywfFyjtmH4g1T46qVXgTDJz9oY
1814400-0,1814400,,0,democracy,Started,
1728000-0,1728000,,0,democracy,PreimageUsed,
1728000-0,1728000,,0,democracy,Executed,
1876042-2,1876042,0x955a6d6a07651d641dbfb4202eeef827105463132772ed34f3fa6b92547a98ae,2,democracy,PreimageNoted,DhksmAjKDJK1DCRUFDykzmFDLW6fXZ8cd9xPFpT5T8nCZAT
1713600-0,1713600,,0,democracy,Tabled,
1713600-0,1713600,,0,democracy,Started,
1713600-0,1713600,,0,democracy,NotPassed,
1612800-0,1612800,,0,democracy,Passed,
1703138-2,1703138,0x8c7de23874062882d9645c23d5b1246b237893de0c7d066c4bba6d6c69f9c6fc,2,democracy,PreimageNoted,HhfEhtERhgf6xw35YwJjd7rWH6ayduomRnUMEtqGCtMDYBe
1612800-0,1612800,,0,democracy,Started,
1703162-2,1703162,0x7c0e75d93e5f6b64a7002faf25e423e871a02480f7371755651e499437cf0f2e,2,democracy,Proposed,HhfEhtERhgf6xw35YwJjd7rWH6ayduomRnUMEtqGCtMDYBe
1612800-0,1612800,,0,democracy,Tabled,
1593014-3,1593014,0x0eca72c6b7469ef0de2089ba0c660362c906a9da2ae6b587b36f35abb08a6446,3,democracy,Proposed,DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4
1575227-3,1575227,0x3f225fe470955d0d176f9b1e70a52c6afa606345063685bcf5742dfe998fa8ac,3,democracy,Delegated,GZhmVta94g8zhFdZXNSdN7HQT8ynqJ4iASp28ZhJ96LBa2e
1575213-3,1575213,0xcf9490fe8408f828c6758d0bf03f9ecba9d4d8d45f1f15b39e26578cd23889c1,3,democracy,Delegated,GXfecumLiGdcGLRWJjQ7bjrLN9UZ8uXXZ8GPCYYgxfwqpqL
1575148-3,1575148,0x1775c06da1119d3ba4efd41521db68101536c8c1531486d419af84907bde868c,3,democracy,Delegated,JCnwcngxuPyiRivyW93XEhQSgoKU8YEKkXzACw7jD3GEZrd
1575206-3,1575206,0x37f6eaf42d040e59d86b46c5555bf1d9926ae9bb2d3f6e360ea6bb07923b0844,3,democracy,Delegated,D3icRvk43Bj69ChTPkx5v4pEQKGqDY95hHXiBB1JBFVwtvP
1574408-0,1574408,,0,democracy,Executed,
1575219-3,1575219,0xf3ab2bb26741e015752c9ecdd31ab406fce32bc464e885c0f7503043ddf240a6,3,democracy,Delegated,EtHKJCxSzgwYjVRkDwAq3Kuqjxd41rKYYTpxRsdAPZEsPcP
1574408-0,1574408,,0,democracy,PreimageUsed,
1574407-0,1574407,,0,democracy,Passed,
1575032-2,1575032,0x438d55bd4556abe101f756acdd0b7b704229c3afe6907e2712cc4907b66e1b86,2,democracy,Delegated,GnL41mJJJTp9npr1W9wLMzEfFL4thqyjPt6hwxLirmJt5vQ
1562174-0,1562174,,0,democracy,NotPassed,
1572607-3,1572607,0x66141f76a7e9ff4ba1b4461a422936a8de594d308fb907ecfbf6a1f0b2cf59a6,3,democracy,Started,Fa1me4dit46AFSjinM89EsfiF7T91seEPU4wY9JNJQ752Sg
1560374-3,1560374,0xb3e7fb596ed01b5ff0d659bff75104bf5e24f5ec5a668597c1e39313649d00a3,3,democracy,Started,F2i6trfXqFknbgB3d9wcd1X98WWdLLktmFtK8Beud75bjTW
1559519-3,1559519,0xc309096704ba6b21e34aeb76aafe9bf20f39cd0a8a1a5148bcc4396f9c731274,3,democracy,Unlocked,DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg
1517439-0,1517439,,0,democracy,PreimageUsed,
1517439-0,1517439,,0,democracy,Passed,
1573281-3,1573281,0x74abd34b081da11ff75f1fd0e81d0fe2847048821e1161691231a9c9478928c3,3,democracy,PreimageNoted,EqeaSHobbxoBkKXdfcxTJwYEsofyu48LMrSeFtiQGcafouM
1559159-3,1559159,0xc4d52882b83e4c7949e58deb21f2cf99fc9cf2cb3ca0c03966d222a34b81d951,3,democracy,Unlocked,FDDy3cQa7JXiChYU2xq1B2WUUJBpZpZ51qn2tiN1DqDMEpS
1517439-0,1517439,,0,democracy,Executed,
1512000-0,1512000,,0,democracy,Tabled,
1515639-2,1515639,0x748e8f03320483e7bdb44c61ad9135e497471255b8707fb67d4cb13ddf474226,2,democracy,Started,F2i6trfXqFknbgB3d9wcd1X98WWdLLktmFtK8Beud75bjTW
1512000-0,1512000,,0,democracy,Started,
