event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
2348503-4,2348503,0xed9d3a96afe7d20a0fb0e54c4e90b48724a42de2f17b3b85c78ea19652b897e5,4,treasury,Proposed,14RYaXRSqb9rPqMaAVp1UZW2czQ6dMNGMbvukwfifi6m8ZgZ
2405730-1,2405730,0xc2520402225efafba628a894b4d43231bda51d65899396a2515f92cee55bef03,1,treasury,Proposed,13DgX3GSb1tAGCWjW4dcSnNZZDEaKrFceYtAMaEBMFfQH9rz
2322100-1,2322100,0x0ea6afebc2554b9b6337834589ad9988afa222eecdb717384ae75522fc0caf2e,1,treasury,Proposed,158WcFmKMKijmcqbPJWoicyhvBqp8TzV4pzgRYhGEiHAMXRz
2294459-1,2294459,0xf96c8d70c6f44c1104bee17482f47967a68bcdd4b82925927ad0991981e90b5a,1,treasury,Proposed,126ehG4n9BkmV8HKtQUqBHoTCwv5ogPA7F8X7giJrXZqA6Hs
2291047-2,2291047,0x9d1e678df0111e75610b5f3212f2700a8861440a79ae4da83fa92f006215a255,2,treasury,Proposed,155r3XfymxTPvZ6HPYYyudCp37fjRCnUwgAcdSbq4sgXFH1p
2248312-2,2248312,0x53a6b44f708f00cbb78694e15c235e3598ad9aa5720c0b844c300aaf65f8e464,2,treasury,Proposed,13DgX3GSb1tAGCWjW4dcSnNZZDEaKrFceYtAMaEBMFfQH9rz
2203967-3,2203967,0xf3ebdb3aa5676fc1d2bbc41aec82cb74dbb1ce02964374fed54cefd745dc03c7,3,treasury,Proposed,12sNU8BXivMj1xQmcd4T39ugCyHjmhir8jkPqfAw5ZDESrx4
1987642-1,1987642,0x1d5feb0a6ff98faacac1d9304e1d5e75359732a8d6874b871759f2f41a7e6ed7,1,treasury,Proposed,13DgX3GSb1tAGCWjW4dcSnNZZDEaKrFceYtAMaEBMFfQH9rz
1920117-2,1920117,0xd5bbb2149a275ea16e489199cbf8e038935f932b0201ab112ed9f3e1fc68b1c1,2,treasury,Proposed,13DgX3GSb1tAGCWjW4dcSnNZZDEaKrFceYtAMaEBMFfQH9rz
1823066-2,1823066,0x3fa61866ceaf2f2f190ded394dc5f99457289c1aecf0a5d645043a5fdd4f2a3a,2,treasury,Proposed,14mY9eUFJT615yWz2G7x4NP53svJVXvTzdpWDsmaXFAN7uYN
1818792-1,1818792,0xd7ce9a0e7c2995746e6112380dfb1c4fc193b535a8b966606250f5ea3acb423f,1,treasury,Proposed,13DgX3GSb1tAGCWjW4dcSnNZZDEaKrFceYtAMaEBMFfQH9rz
1693992-1,1693992,0x4d0c7a64c4864cfcd50405e4f86a979026d49bf28c644eeffb07be1caed1bb42,1,treasury,Proposed,15psTaipmWG86U5vNkF7Guv9TRPMRLKHkGS8cXT74v3RCC5t
1601957-2,1601957,0x4d657b680e0b701bc5eaf65aafa4de45c17f783a5ff6125a5e5acd38b0f6bc41,2,treasury,Proposed,15G4hfDNtNhRc82As8Ep2YfvpM5xVdX7De3P9qSdHerGA6wC
